"filename", "language", "TypeScript", "TypeScript React", "SCSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapBox/SwapBoxDetails.tsx", "TypeScript React", 0, 118, 0, 0, 0, 0, 0, 0, 0, 4, 122
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapConfirmation/SwapConfirmation.module.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapConfirmation/SwapConfirmation.tsx", "TypeScript React", 0, 146, 0, 0, 0, 0, 0, 0, 3, 9, 158
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapSettings/SwapSettings.module.scss", "SCSS", 0, 0, 43, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapSettings/SwapSettings.tsx", "TypeScript React", 0, 192, 0, 0, 0, 0, 0, 0, 0, 5, 197
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapSettings/useSwapSettings.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 0, 3, 5, 40
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/TokenOrNetworkRenderer/TokenOrNetworkRenderer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/TokenOrNetworkRenderer/TokenOrNetworkRenderer.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/ChooseValidator/ChooseValidator.module.scss", "SCSS", 0, 0, 79, 0, 0, 0, 0, 0, 0, 16, 95
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/ChooseValidator/ChooseValidator.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 0, 3, 69
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/ClaimDashboard/ClaimDashboard.module.scss", "SCSS", 0, 0, 88, 0, 0, 0, 0, 0, 0, 17, 105
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/ClaimDashboard/ClaimDashboard.tsx", "TypeScript React", 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/DesktopTable/DesktopTable.module.scss", "SCSS", 0, 0, 62, 0, 0, 0, 0, 0, 0, 15, 77
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/DesktopTable/DesktopTable.tsx", "TypeScript React", 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/PhoneTable/PhoneTable.module.scss", "SCSS", 0, 0, 74, 0, 0, 0, 0, 0, 0, 16, 90
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/PhoneTable/PhoneTable.tsx", "TypeScript React", 0, 94, 0, 0, 0, 0, 0, 0, 0, 6, 100
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/Validators/Validators.module.scss", "SCSS", 0, 0, 73, 0, 0, 0, 0, 0, 0, 12, 85
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/Validators/Validators.tsx", "TypeScript React", 0, 83, 0, 0, 0, 0, 0, 0, 0, 4, 87
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/VeCSM/datas.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 2, 126
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/index.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 4, 5, 55
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/constants/abi.ts", "TypeScript", 1734, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1738
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/constants/addresses.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/constants/networks.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
